blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
MATIC,WETH/IDLE,SushiSwap,IDLE,0.0,1.1077,0.0,1.7585,-364.57%,(5x),0x44559353f8edb965294c1448333369ca84df6298
ARB,SPELL/ETH,SushiSwap,SPELL,1183740.0,0.14730000000000001,838492.0,0.2779,338.35%,(5x),0x35b44b303eacb71114aa62fe8dae6f9c5de0f680
ARB,SPELL/ETH,SushiSwap,ETH,2289964.0,0.07429999999999999,1491245.0,0.1398,338.35%,(5x),0x35b44b303eacb71114aa62fe8dae6f9c5de0f680
ARB,WBTC/ETH,Swapr,WBTC,710564.0,0.11259999999999999,486836.0,0.1943,129.34%,(10x),0xb8942a1c1bbb90272190269d42c2f1dff2fde3a4
ARB,WBTC/ETH,Swapr,ETH,900068.0,0.08470000000000001,583724.0,0.1472,129.34%,(10x),0xb8942a1c1bbb90272190269d42c2f1dff2fde3a4
ARB,WBTC/ETH,SushiSwap,WBTC,553838.0,0.1012,364862.0,0.1745,132.66%,(10x),0x7532a8d8a12bdd871796a07ac90e510b1cc8f694
ARB,WBTC/ETH,SushiSwap,ETH,878000.0,0.0404,415939.0,0.09050000000000001,132.66%,(10x),0x7532a8d8a12bdd871796a07ac90e510b1cc8f694
ARB,ETH/USDC,SushiSwap,ETH,2423666.0,0.0006,311420.0,0.002,131.65%,(5x),0xb0e7ad5053414fde098122b61fd34d816fd6d93f
ARB,ETH/USDC,SushiSwap,USDC,455960.0,0.13419999999999999,269710.0,0.2618,131.65%,(5x),0xb0e7ad5053414fde098122b61fd34d816fd6d93f
ARB,ETH/IMX,SushiSwap,ETH,405615.0,0.0818,227355.0,0.1495,321.61%,(5x),0xb7e5e74b52b9ada1042594cfd8abbdee506cc6c5
ARB,ETH/IMX,SushiSwap,IMX,408262.0,0.0507,251292.0,0.0794,321.61%,(5x),0xb7e5e74b52b9ada1042594cfd8abbdee506cc6c5
ARB,ETH/MIM,SushiSwap,ETH,342119.0,0.0851,247712.0,0.1433,154.02%,(5x),0xa6e69dd0c36f3b59539e2c7afd274ef91b5c70f9
ARB,ETH/MIM,SushiSwap,MIM,334572.0,0.3122,226645.0,0.5301,154.02%,(5x),0xa6e69dd0c36f3b59539e2c7afd274ef91b5c70f9
ARB,ETH/IMX,Swapr,ETH,301126.0,0.1185,206793.0,0.1736,288.14%,(5x),0xcc5c1540683aff992201d8922df44898e1cc9806
ARB,ETH/IMX,Swapr,IMX,296691.0,0.0705,215760.0,0.091,288.14%,(5x),0xcc5c1540683aff992201d8922df44898e1cc9806
ARB,ETH/USDC,Swapr,ETH,279904.0,0.1026,179343.0,0.17350000000000002,151.87%,(5x),0x82cde182702841dab46916738207123fe535909f
ARB,ETH/USDC,Swapr,USDC,289261.0,0.1491,161227.0,0.3028,151.87%,(5x),0x82cde182702841dab46916738207123fe535909f
ARB,ETH/USDT,SushiSwap,ETH,272689.0,0.0864,152374.0,0.1589,112.73%,(5x),0x95c9bf3f60cbc2be8e148fae82f26930bfcd1839
ARB,ETH/USDT,SushiSwap,USDT,234634.0,0.22579999999999997,133184.0,0.406,112.73%,(5x),0x95c9bf3f60cbc2be8e148fae82f26930bfcd1839
ARB,USDT/USDC,Swapr,USDT,122341.0,0.26,94492.0,0.4239,265.04%,(20x),0xd52c2e7feae13abbc9ac4861ef697f7210586696
ARB,USDT/USDC,Swapr,USDC,123551.0,0.171,94006.0,0.2964,265.04%,(20x),0xd52c2e7feae13abbc9ac4861ef697f7210586696
ARB,ETH/LINK,Swapr,ETH,179170.0,0.0779,115645.0,0.1603,105.92%,(5x),0xc48a16493b97bf90545793cf89884ede71aac39a
ARB,ETH/LINK,Swapr,LINK,131726.0,0.1592,88112.0,0.3179,105.92%,(5x),0xc48a16493b97bf90545793cf89884ede71aac39a
ARB,ETH/SUSHI,SushiSwap,ETH,173982.0,0.0406,93432.0,0.09119999999999999,190.92%,(5x),0x092162807896509afe042b7f839ab30e1ca11670
ARB,ETH/SUSHI,SushiSwap,SUSHI,111979.0,0.0805,52929.0,0.20829999999999999,190.92%,(5x),0x092162807896509afe042b7f839ab30e1ca11670
ARB,ETH/DAI,Swapr,ETH,101710.0,0.07440000000000001,61457.0,0.1489,133.81%,(5x),0xe965129938867a125f91a67e1b6d34d022bda569
ARB,ETH/DAI,Swapr,DAI,114271.0,0.1441,71311.0,0.2709,133.81%,(5x),0xe965129938867a125f91a67e1b6d34d022bda569
ARB,MKR/ETH,Swapr,MKR,0.0,0.031200000000000002,0.0,0.0478,132.57%,(10x),0x4fefa59353636c64c5950fd23c969cbaab5e7bba
ARB,MKR/ETH,Swapr,ETH,100216.0,0.0694,68243.0,0.1367,132.57%,(10x),0x4fefa59353636c64c5950fd23c969cbaab5e7bba
ARB,ETH/SWPR,Swapr,ETH,78547.0,0.0508,41167.0,0.1245,630.25%,(5x),0x4062f4775bc001595838fbaae38908b250ee07cf
ARB,ETH/SWPR,Swapr,SWPR,118719.0,0.0226,35333.0,0.0721,630.25%,(5x),0x4062f4775bc001595838fbaae38908b250ee07cf
AVAX,MIM/AVAX,TraderJoe,MIM,2878614.0,0.3739,2018383.0,0.5848,206.30%,(5x),0xd04b43a8e016ead5c95971e428bffe5a32cfad3c
AVAX,MIM/AVAX,TraderJoe,AVAX,3069779.0,0.49700000000000005,2065346.0,0.7304999999999999,206.30%,(5x),0xd04b43a8e016ead5c95971e428bffe5a32cfad3c
AVAX,WETH.e/AVAX,TraderJoe,WETH.e,936722.0,0.0983,737461.0,0.16469999999999999,55.72%,(10x),0x17a57f77e31752ca1455ea7946c7df54fb4ea876
